@type,@id,datePublished,headline,reviewBody,inLanguage,itemReviewed.@id,author.@type,author.name,author.url,reviewRating.@type,reviewRating.bestRating,reviewRating.worstRating,reviewRating.ratingValue,publisher.@id
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65c68cb6c87739e4909975de,2024-02-09 22:36:07+00:00,No help available whatsoever,It is totally impossible to talk to a human in this company.   The ‘contact us’ page sends you round in never-ending circles.   Worst customer service I have ever encountered.,,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,carol sennett,https://www.trustpilot.com/users/5d2da004ee24f8436a751eaf/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65c609a2bac9b7121bd93c28,2024-02-09 13:16:50+00:00,Unhelpful,"When taking you car to service, the service centers rarely have the parts in stock that you have booked for replacement - despite it being clear for several weeks from the service appointment. If they do have the parts, they might make mistakes. You then still have to go through their app'maze again and wait another 3 weeks or more and (in my case) drive far back and forth. No compensation and apoligies are made. I have been driving two Tesla S and one Tesla X the past 12 years. I've only put up with this treatment because of the lack of competition. The salesmen are equally unhelpful - seemingly oblivious that several manufacturers now have comparable or better electric cars. (The competition actually will provide you with genuine service - by phone, e-mail or app.)",,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,Jens Martin Skibsted,https://www.trustpilot.com/users/63a302386236d600133df1e1/,Rating,5,1,2,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65cb4d989907abbb7750e330,2024-02-13 13:08:08+00:00,I would highly recommend to not buy a…,I would highly recommend to not buy a Tesla if you any kind of after service. The service is the worst I have ever received.,,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,steven ray,https://www.trustpilot.com/users/62f5fd9aa6cbdd00128ac6b8/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65cb7e782ff372f639b77ec2,2024-02-13 16:36:40+00:00,I'd like to express my sincere…,"I'd like to express my sincere appreciation for the outstanding service provided by Senior Technician George during my recent visit to the Tesla Service Center in Milton Keynes. George promptly addressed all the issues with my car and demonstrated remarkable proficiency in diagnosing and resolving the problems. His meticulous attention to detail and thorough approach ensured that every aspect of the repairs was handled with precision and care.Moreover, George's commitment to keeping me informed throughout the repair process was truly exemplary. He provided regular updates on every step of the repairs, ensuring that I was well-informed and reassured about the status of my vehicle. His clear communication and transparency greatly contributed to a positive customer experience.",,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,Mr Jan M,https://www.trustpilot.com/users/649ada840c2b6f001203db31/,Rating,5,1,5,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65bd177f4b4534562f1748ec,2024-02-02 18:25:35+00:00,Worst experience in a car shop ever,"Worst experience in a car shop ever. Rude aggressive floor manager.Delivered the car before time. Only half of the 4 issues fixed when closing time, even if the calculated time was less. No communication that the car wasn't done as planned. The cost for travelling to get my car after the weekend 100% on me, even though it was the repair centers that waited to long for my planned repair.",,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,Per,https://www.trustpilot.com/users/5d4023079a2ed79e63215d88/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65c277938ba319c3c65e7786,2024-02-06 20:16:51+00:00,Absolutely horrible customer service,Absolutely horrible customer service. Cars continuously are breaking and the repair facilities are a nightmare to deal with. All of which is really disappointing because it is so close to being a good car if only their customer service was even just average.,,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,Jesse,https://www.trustpilot.com/users/65c2777d6f6911001243be42/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65c3732c5cf83132629de65c,2024-02-07 14:10:21+00:00,I left my Tesla into Belfast 12 dec got…,I left my Tesla into Belfast 12 dec got back 20 Jan . From I got the car back I have a noise that they say will cost me £400 to fix . Hard to believe they worked on the car and now it’s got a problem . No words for customer service . Hope people read this and don’t but a Tesla . Poor show all round . Useless staff and all done on email is very distracting and frustrating.,,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,Mark Taylor,https://www.trustpilot.com/users/65c373093d9bf40012ca5ba4/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65c3bf4acff2861264fcb592,2024-02-07 19:35:07+00:00,Definitely not a great experience after…,Definitely not a great experience after order up to point of collection. Let’s hope things get better.,,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,DAVID,https://www.trustpilot.com/users/5df5fa2b214ad8d1c9730b79/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65ba5ea35ed17597dd5aa7a1,2024-01-31 16:52:20+00:00,Horrible Customer Service,"Extremely rude customer service. I think her name was Danielle. I booked Tesla on 12/29/2023, paid for insurance but canceled on12/30/2023 and also canceled insurance through the tsla app. Igot charged again in Feb 2024. So i called customer service. OMG. This women, dont know who she thinks she is. The rudest person i ever spoke. She wanted me to explain the steps on their app i took to cancel. How the heck do i remmeber the steps i followed a month ago and she says she doesnt have time to listen to me and kept cutting me off. Even an electric cuompany customer service is more professional than Tesla.. I will not buy Tesla ever in my life. Will take my business somewhere else.",,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,Vishal Mongia,https://www.trustpilot.com/users/5e56895e6ca71540af849bb7/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
Review,https://www.trustpilot.com/#/schema/Review/www.teslamotors.com/65b4027f6700602220eea4a6,2024-01-26 21:05:35+00:00,Panel removal not reinstalled,Had my solar panels removed November 2. Roof replaces on the 2nd. Now Tesla keeps pushing out the reinstallation for various reasons. I am forced to pay for the panels in my garage and to the power company. It is not my fault they didn't get it done the first scheduled date of Dec 7.Now again they pushed out reinstall to end of March. I will lose $1000 due to this. Unacceptable. Very uncooperative service.,,https://www.trustpilot.com/#/schema/Organization/www.teslamotors.com,Person,Christopher Foltman,https://www.trustpilot.com/users/65b402728f8de1001259661a/,Rating,5,1,1,https://www.trustpilot.com/#/schema/Organization/1
